name,state,installed_version,author
account,installed,19.0.1.4,Odoo S.A.
account_add_gln,installed,19.0.1.0,Odoo S.A.
account_edi_ubl_cii,installed,19.0.1.0,Odoo S.A.
account_payment,installed,19.0.2.0,Odoo S.A.
analytic,installed,19.0.1.2,Odoo S.A.
api_doc,installed,19.0.1.0,Odoo S.A.
auth_passkey,installed,19.0.1.1,Odoo S.A.
auth_passkey_portal,installed,19.0.1.0,Odoo S.A.
auth_signup,installed,19.0.1.0,Odoo S.A.
auth_totp,installed,19.0.1.0,Odoo S.A.
auth_totp_mail,installed,19.0.1.0,Odoo S.A.
auth_totp_portal,installed,19.0.1.0,Odoo S.A.
barcodes,installed,19.0.2.0,Odoo S.A.
barcodes_gs1_nomenclature,installed,19.0.1.0,Odoo S.A.
base,installed,19.0.1.3,Odoo S.A.
base_import,installed,19.0.2.0,Odoo S.A.
base_import_module,installed,19.0.1.0,Odoo S.A.
base_install_request,installed,19.0.1.0,Odoo S.A.
base_setup,installed,19.0.1.0,Odoo S.A.
bus,installed,19.0.1.0,Odoo S.A.
calendar,installed,19.0.1.1,Odoo S.A.
calendar_sms,installed,19.0.1.1,Odoo S.A.
contacts,installed,19.0.1.0,Odoo S.A.
crm,installed,19.0.1.9,Odoo S.A.
crm_iap_enrich,installed,19.0.1.1,Odoo S.A.
crm_iap_mine,installed,19.0.1.2,Odoo S.A.
crm_sms,installed,19.0.1.1,Odoo S.A.
digest,installed,19.0.1.1,Odoo S.A.
google_gmail,installed,19.0.1.2,Odoo S.A.
hr,installed,19.0.1.1,Odoo S.A.
hr_calendar,installed,19.0.1.0,Odoo S.A.
hr_holidays,installed,19.0.1.6,Odoo S.A.
hr_holidays_homeworking,installed,19.0.1.0,Odoo S.A.
hr_homeworking,installed,19.0.2.0,Odoo S.A.
hr_homeworking_calendar,installed,19.0.1.0,Odoo S.A.
hr_org_chart,installed,19.0.1.0,Odoo S.A.
hr_payroll_community,installed,19.0.1.0.1,Cybrosys Techno Solutions
hr_skills,installed,19.0.1.0,Odoo S.A.
html_editor,installed,19.0.1.0,odoo
http_routing,installed,19.0.1.0,Odoo S.A.
iap,installed,19.0.1.1,Odoo S.A.
iap_crm,installed,19.0.1.0,Odoo S.A.
iap_mail,installed,19.0.1.0,Odoo S.A.
l10n_bd,installed,19.0.1.0,Odoo S.A.
mail,installed,19.0.1.19,Odoo S.A.
mail_bot,installed,19.0.1.2,Odoo S.A.
mail_bot_hr,installed,19.0.1.0,Odoo S.A.
microsoft_outlook,installed,19.0.1.1,Odoo S.A.
onboarding,installed,19.0.1.2,Odoo S.A.
partner_autocomplete,installed,19.0.1.1,Odoo S.A.
payment,installed,19.0.2.0,Odoo S.A.
phone_validation,installed,19.0.2.1,Odoo S.A.
portal,installed,19.0.1.0,Odoo S.A.
privacy_lookup,installed,19.0.1.0,Odoo S.A.
product,installed,19.0.1.2,Odoo S.A.
purchase,installed,19.0.1.2,Odoo S.A.
purchase_edi_ubl_bis3,installed,19.0.1.0,Odoo S.A.
purchase_stock,installed,19.0.1.2,Odoo S.A.
resource,installed,19.0.1.1,Odoo S.A.
resource_mail,installed,19.0.1.0,Odoo S.A.
rpc,installed,19.0.1.0,Odoo S.A.
sale,installed,19.0.1.2,Odoo S.A.
sale_crm,installed,19.0.1.0,Odoo S.A.
sale_edi_ubl,installed,19.0.1.0,Odoo S.A.
sale_management,installed,19.0.1.0,Odoo S.A.
sale_pdf_quote_builder,installed,19.0.1.0,Odoo S.A.
sale_purchase,installed,19.0.1.0,Odoo S.A.
sale_purchase_stock,installed,19.0.1.0,Odoo S.A.
sale_sms,installed,19.0.1.0,Odoo S.A.
sales_team,installed,19.0.1.1,Odoo S.A.
sale_stock,installed,19.0.1.0,Odoo S.A.
sms,installed,19.0.3.0,Odoo S.A.
snailmail,installed,19.0.0.4,Odoo S.A.
snailmail_account,installed,19.0.0.1,Odoo S.A.
spreadsheet,installed,19.0.1.0,Odoo S.A.
spreadsheet_account,installed,19.0.1.0,Odoo S.A.
spreadsheet_dashboard,installed,19.0.1.0,Odoo S.A.
spreadsheet_dashboard_account,installed,19.0.1.0,Odoo S.A.
spreadsheet_dashboard_sale,installed,19.0.1.0,Odoo S.A.
spreadsheet_dashboard_stock_account,installed,19.0.1.0,Odoo S.A.
stock,installed,19.0.1.1,Odoo S.A.
stock_account,installed,19.0.1.1,Odoo S.A.
stock_sms,installed,19.0.1.0,Odoo S.A.
uom,installed,19.0.1.0,Odoo S.A.
utm,installed,19.0.1.1,Odoo S.A.
web,installed,19.0.1.0,Odoo S.A.
web_hierarchy,installed,19.0.1.0,Odoo S.A.
web_tour,installed,19.0.1.0,Odoo S.A.
web_unsplash,installed,19.0.1.1,Odoo S.A.
